id,name,screen_name,location,followers_count,friends_count
1044605104832184320,Nathania Niken Silvano,NikenSilvano,"Jakarta Selatan, DKI Jakarta",10,28
629978526,Sahara Rastanora,arashiyonghwa,Indonesia,119,363
347054129,vendra kanami,dejay_endra,"Jakarta Pusat, DKI Jakarta",99,414
782875380646420481,Kuis Milioner,kuismilioner,"DKI Jakarta, Indonesia",232,0
150043717,YUN,yunimagination,Bekasi,1216,499
205656161,Key Vibrio Pertusis,satria_1746,Tangerang,342,486
30013165,Aryo Aviarto,aryoIV,Jakarta & Palu,157,206
241100937,Dimas R Adrian,Didimsadrian,Jakarta ,533,406
353508339,Berlian,abelberlian,"Tangerang, Indonesia",681,456
113972665,Kilovi,oviishovya,Jakarta,250,229
35730984,Landy op,Landy_op,Jakarta,131,140
92289740,Lemon Pepper Wet,wongkongkong,inner mind,539,421
488389808,Abyadh,abyadh18,Tangerang,381,308
903922722186465280,space lord,imissmobo,"jkt, indonesia",71,317
124655472,Kiky,rizky_paramitha,"Jakarta, Indonesia.",520,679
559389728,Ohayo!,LisaMarudani,Bogor indonesia,719,573
117667752,Mr. Ernaz,Hakakage,"Bintara, Bekasi Barat",363,199
1001530736678133760,Abe Lim,avarianl,"Jakarta Barat, DKI Jakarta",2,22
397124779,dodie,Dodiestwn,"DKI Jakarta, Indonesia",506,245
150979030,febrianto bagus sumantri,goes_ba,"Jakarta Pusat, DKI Jakarta",25,68
2476584444,Anas Shafa,anasshafac,"Jakarta Selatan, DKI Jakarta",383,161
1085598750,Jason Timothy K,Jayzee12345678,"Indonesia,tangerang",41,1174
375500605,Padfoot,adityaari_p,Tangerang,836,1082
39029132,Verdi Solaiman,verdisolaiman,jakarta,12218,428
138294785,Bhinneka,islamlib,jakarta,14421,570
76614881,LisaLie,lisaliecute,"Jakarta, Indonesia",177,294
259112674,Mstri FM Jakarta,1042mstrifm,"Jakarta Barat, DKI Jakarta",22207,80
4882314680,PicturePlay,picture_play,"Jakarta Selatan, DKI Jakarta",4578,467
152257312,кити,angalace,"West Java, Indonesia",353,316
145121795,Mutia,LEMONedPearl,"Jakarta, Indonesia",825,665
52100606,steavan,steavan_lop,jakarta,94,105
16882261,Ernest Prakasa,ernestprakasa,Jakarta,534791,1113
256363385,Riska Wijayanti,riskwjnt,"DKI Jakarta, Indonesia",897,156
856539478747369472,Maeve Millay,MaeveisFine,Jakarta,9,89
99019792,Duhita Aprilia Ayu,duhitapriliayu,Jakarta ,268,244
1497459642,mantan mu✨,daffa_hndrwan,Bogor,1160,1014
159448977,Yeremia,yeremiw_,"Serpong, Indonesia",700,304
575767892,Akhmad Nursyeha,noersyeha,Bogor,503,348
120699314,Ananda Athifah L.,AnandaAthifah,Bogor Indonesia,1944,376
1020125783409373185,ovalhead,riffagni,"Karawang, Jawa Barat",21,116
802151077286027265,khalifah iskandar z,hika00007,"Depok, Jawa Barat",4,36
60564340,CakraAdiNegara,OfficialChakz,"Bekasi, Jawa Barat",2638,420
149856579,Bayu Abbas Thorpa,NerdFromTheHerd,Batavia,506,1604
478272520,Habib Rachman,abeemanoch,Cilegon,51,88
625659280,sony alfih,Sony_djumaryo,Tangerang,221,198
17866225,Marszha,Polysterene,Jakarta,305,298
32358893,HAI,HaiMagazine,"Kebon Jeruk, Jakarta",554042,337
118338056,MAKO⊿S15//SLIDEDRIVE,makotan_dayou,jakarta,822,1655
24860472,Fachrul Irwinsyah,paulpolos,Jakarta,260,476
36873209,Scherazade Mulia Saraswati,Scherazade02,"Jakarta, Indonesia",5191,962
290213588,RADIONET SHOW,RadionetShowBTV,"Jakarta Barat, DKI Jakarta",1397,26
127785511,RaaNie Rahmaa,Raantwitt,Tangerang,318,161
59791775,Ailene PS,silinne,Jakarta,349,236
296039916,Penikmat kopi pake es,baewidhy,Jakarta,287,225
1693231513,Princess Samda,samdaa24,"Jakarta, Indonesia",1146,397
176035206,Muh Ricky Maulana,Muuhricky,surabaya-malang-jakarta,430,325
470270362,Hongli Gading,HongliGading,Jakarta,410,90
209561022,Almahdi ن,almahddicted,Jakarta - Semarang - Bandung,945,827
2851380404,Dimas Reza,dimas_rza,"Tangerang, Indonesia",39,11
184706308,FIMELA,FIMELAdotcom,"Jakarta, Indonesia",42380,390
282859528,Ianz,herdianyusuf,"Purwakarta, West Java",23,161
438165379,Ulfah Zakiyah,neng_ulfahz, Bogor  Indonesia ,677,299
2994116557,Kaha,nrllkhhh,"DKI Jakarta, Indonesia",217,197
969228840424808448,Geraldo Wijaya,geraldooow_15,"Bogor, Jawa Barat",11,141
2617457282,🤪🤙luna🍑🐰,lunnashh,"Jakarta, Indonesia",480,211
2617457282,🤪🤙luna🍑🐰,lunnashh,"Jakarta, Indonesia",480,211
550308681,the fall.,itsnotrael__,East Jakarta ,562,121
2659475844,Fadhlan Maulana,fadhlan1057,"Serang, Banten",92,88
115710363,Ayu muharningtyas,ayumaboer,Bandung - Jakarta,257,347
56357597,Yanty Agustina Chen,medicalsherry,Jakarta,336,195
184706308,FIMELA,FIMELAdotcom,"Jakarta, Indonesia",42380,390
259112674,Mstri FM Jakarta,1042mstrifm,"Jakarta Barat, DKI Jakarta",22207,80
375500605,Padfoot,adityaari_p,Tangerang,836,1082
227634087,Nita Astara,nitasony,Jakarta,2942,212
194141971,IG : ibrahimmanur,ibrahimMANur,+62,530,541
336540093,Aisya Ica,nonaaicaa,Around the bookshelf,511,390
984271178532438016,av,kaydirva,Jakarta,6,11
974899010728161280,Ray[TDM],rayfreefire,"Cileungsi, Indonesia",1,7
322112673,Digdaya Anoraga,DigdayaAnoraga,bogor,242,280
550308681,the fall.,itsnotrael__,East Jakarta ,562,121
969228840424808448,Geraldo Wijaya,geraldooow_15,"Bogor, Jawa Barat",11,141
278913359,BawahanSableng,budak_korporat,"Bogor, Jawa Barat",412,221
87159633,Naya,never_mind193,Jakarta,212,133
734501064,Yahdi Afta Saputra,yahdiafta,Serpong,235,1827
734501064,Yahdi Afta Saputra,yahdiafta,Serpong,235,1827
2617457282,🤪🤙luna🍑🐰,lunnashh,"Jakarta, Indonesia",480,211
142613621,M Insan Hutomo,insaninsun,,171,167
194541846,yonx,frostyonx,"DKI Jakarta, Indonesia",347,1451
953505072641556480,fia.,floweuj,"Tangerang, Indonesia",380,368
85914129,irena pretika,irenapretika,,557,330
114362336,Alien,rantykaa,"Jakarta Selatan, DKI Jakarta",1193,180
424891469,Syahrul Saterahsia,sahrul_otaku,serang Indonesia,70,166
129479844,Putra Adi Cipta,putra__adi,Jakarta,430,350
550308681,the fall.,itsnotrael__,East Jakarta ,562,121
46626139,Indra Fauzi,menkoholic,Jakarta...,237,176
83127149,Dodii Official 🌀,Dodiimron,"Cibiru, Indonesia",225,91
152626893,M Itqonul Ilmi,itqonulilmi,"Depok, Indonesia",612,445
508155138,Roosita Damayanti,roositadam_,"Bogor, Indonesia",847,178
1967125658,Dias Art,dias_channel,jakarta,211,298
468300326,Ammar Ibrahim,ammar_aim,Jakarta,132,181
468300326,Ammar Ibrahim,ammar_aim,Jakarta,132,181
303735029,Fauzria Wulan Daru,fauzriaWD,,357,280
303735029,Fauzria Wulan Daru,fauzriaWD,,357,280
2593268676,Banten Cendekia Inst,bc_institut,Kota Serang - Banten,217,436
4717074612,NEWSmedia_Banten,Newsmedia20,"Kota Serang, Banten",197,211
2158140914,Rhoma Ihrama,RhomaIhrama,Jakarta,5354,66
920403926,bareksa,bareksacom,Jakarta,26305,66
575767892,Akhmad Nursyeha,noersyeha,Bogor,503,348
2455620330,kunut,kunut7,jakarta,20,94
182446044,Dhe’Challa 🙅🏾‍♂️,Dhe_Gea,Tidore - Jakarta,1407,854
74473799,Samuel Christian,samPG,"Jakarta, Indonesia.",339,476
88593647,MNC Trijaya 104.6 FM,mnctrijayafm,Jakarta,43026,224
123269946,Ditajonsh,Dhitajonsh,"Bogor, Jawa Barat",435,436
854236817649946625,Annaise #PEMUDAPORTÈ,CHUWxER,Jakarta.,160,148
829138590672130050,🇮🇩,OmFerri,Jakarta,645,747
52646946,Mal MGK Kemayoran,MGKKemayoran,kemayoran,2056,196
845483730,#Siapa_Ryan,RyanFinisa,Cibinong bogor,94,39
165246596,Min Fadly Robby,adlynalin,"Bekasi, Indonesia",484,706
829138590672130050,🇮🇩,OmFerri,Jakarta,645,747
1049844212848422912,Valdis,ValdisGh,"Jakarta Selatan, DKI Jakarta",6,21
845483730,#Siapa_Ryan,RyanFinisa,Cibinong bogor,94,39
527517272,Ferna Damayanti P,fernadamay,Indonesia,510,296
234086885,Cak Hendrick,cakhendrick,"DKI Jakarta, Indonesia",317,301
953505072641556480,fia.,floweuj,"Tangerang, Indonesia",380,368
195608585,APS.ArtWork,AliefAPS,"DKI Jakarta, Indonesia",172,110
18133368,Meizar Ahmad Assiry,Ijey,"Purwakarta, Indonesia",1724,940
929289930991222786,Jun,chrisfartt,jkt,45,54
487335801,Sandi Aditya,sandisarap,"Serang, Indonesia",5033,455
4242589153,seword,sewordcom,Jakarta,6426,148
356701289,Toyib Sukses,ToyibSukses,"Jakarta Timur, DKI Jakarta",136,639
359364635,windri,windrisunarno,jkt,309,155
194541846,yonx,frostyonx,"DKI Jakarta, Indonesia",347,1451
810512471257530368,Caa Innocents,caainnocent,Indonesia,46,57
732535841692622848,ɐɔıssǝɾ,jessichristiana,"Jakarta, Indonesia",2187,413
373885338,гаmЬus DRІИКШАТЕR,drinkwaterz,Jakarta,24510,339
66733568,Aditya Gustaman,aditchen,Bogor & Serang,404,356
118729282,Downey  Angkiry,downeydee,"ÜT: 0.0,0.0",184,572
2817157812,DO Toys,Dotoys28,Jakarta,12,26
3267405912,piday,firfirdays,Kebayoran Baru,41,97
154787263,Paulus Ikhlas,Ikhlas_07,"Jakarta, Indonesia",280,236
78593257,Ludi Mauliana,ludimauliana,Cirendeu,253,238
3042579528,Cinemania ID,CINEMANIA_ID,"Jakarta, IDN",5604,99
3042579528,Cinemania ID,CINEMANIA_ID,"Jakarta, IDN",5604,99
3042579528,Cinemania ID,CINEMANIA_ID,"Jakarta, IDN",5604,99
3042579528,Cinemania ID,CINEMANIA_ID,"Jakarta, IDN",5604,99
137729852,Purboyo Diaz,Purboyo_DiazPr,"DKI Jakarta, Indonesia",269,242
372237782,Fahmy Sakti A,fahmysakti,Jakarta,388,560
59791775,Ailene PS,silinne,Jakarta,349,236
2783708826,Raza Khan,khaann79,Jakarta ,650,1370
321255177,Tiara Putri Yudanti,tiaraputriy,"Bekasi, Jawa Barat",1062,509
42844307,Shirley 🇮🇩🇨🇳🇵🇹,SmurfGG,"Jakarta, Indonesia",808,1203
176437750,Movie Freak,MovieFreakBTV,"Jakarta Barat, DKI Jakarta",1586,76
89665010,Rubi Hidayat,rubi_ruebz,"Jakarta, Indonesia",214,158
100931080,Sentoso Budiyanto,asenk03,Jakarta,274,220
15288805,cipa,sjifa,East Jakarta,508,727
1630064659,Faldy Aprie Andoyo,FaldyAA,"Bekasi, Jawa Barat",280,35
263610432,rendi`wardana,RendySiiAa,Jakarta,328,391
77180239,☠️,fatunclerip,"Jakarta, Indonesia.",375,721
3314456581,Ryan Panji Mardiko,RyanPMardiko,Kota Tangerang,122,290
375604345,aseh,aseh__,,254,352
44163819,Adrian Susanto,adriansusanto,Jakarta,217,154
44163819,Adrian Susanto,adriansusanto,Jakarta,217,154
164613215,w_wiranto,wwiranto,Bogor city,115,92
550308681,the fall.,itsnotrael__,East Jakarta ,562,121
3068260711,kuro,sIyhterins,Jakarta,378,46
4922767368,Martha.,muarasenja,"Jakarta Selatan, DKI Jakarta",424,142
165721859,Zahra Rizqi Aulia,raraaaulia,"DKI Jakarta, Indonesia",905,340
14770748,ikez,ikez,Jakarta,478,521
3171611023,Adelia Nasution,AdeliaNasution8,Bekasi,309,83
177101268,ARA 🐱,auliarahmahtnaz,"Bogor - Jakarta, Indonesia",2661,915
1051186494872797184,Vii,Viimodjo,"Jakarta Barat, DKI Jakarta",6,84
725292039370248194,#SecretAdmirer,rerehabibie22,"Bekasi, Jawa Barat",54,79
213995084,Reiny Andiani HK,Andiani91,Jakarta,526,548
3042579528,Cinemania ID,CINEMANIA_ID,"Jakarta, IDN",5604,99
935140757396111363,нαмιd,abdoellahhamid,"DKI Jakarta, Indonesia",2403,277
62143776,Harris Mustaqim,harrismOfficial,Yogyakarta,323,277
976898008326406144,Tiara Rezka,rzktr,"Jakarta Timur, DKI Jakarta",13,95
872782624212762624,lumut.,bryoiphyta,"Jakarta Utara, DKI Jakarta",83,97
324439645,Satrya,xathrya,"Jakarta, Indonesia",302,987
28519634,Candra (Widy)arjana,WidyDee,Indonesia,2697,1089
534103931,Him,superhimee,Bogor,487,406
1026299856,i s m y 🌹,ismilarzky_,"Jakarta, Indonesia",427,333
14753886,Michael P. Shipley,michaelpshipley,"Jakarta, Indonesia",2920,1181
39227949,Wahyu,_wahyu,"Bekasi, Indonesia.",390,329
3130971839,Omar Luqmaan-Harris,strengthsleader,"Jakarta, Indonesia",584,287
323235511,🍀💛💡🌌💜🍀,0026yoyo,"Jakarta Selatan, DKI Jakarta",3114,1188
47778097,Dessy Anggraini,dcraini,"Jakarta Selatan, DKI Jakarta",397,307
440352458,Bagus Dirga,DrgBagus,"Jakarta, Indonesia",161,170
1247586032,Nobody's Favorite,lululump22,"jakarta, Indonesia",137,287
408231380,fitasisiani#BEJO,fitasisiani,Jakarta,84,227
56964217,Tukang Kaos,AdamMuslim,"Cikampek, Indonesia",371,388
969228840424808448,Geraldo Wijaya,geraldooow_15,"Bogor, Jawa Barat",11,141
72516986,FERDIAN_NR,FerdianNR,jakarta,209,296
137536400,Bodoamat,Pupulavida,"Bekasi, Indonesia",446,337
373885338,гаmЬus DRІИКШАТЕR,drinkwaterz,Jakarta,24510,339
709700956057800704,Lazy Monday,TheLazyMonday,"Jakarta Utara, DKI Jakarta",474,100
216285451,ムハマド　ファレザ,za_fachreza,Jakarta-Indonesia,298,357
85276547,Harun Harahap,harunggu,Jakarta ,964,397
3193831078,Samudra Management,SAMUDRA_MGNT,Jakarta Capital Region,1017,418
79452716,ROFI,RofiUddarojat,Jakarta,4388,690
3198675806,dusty🌹,xxxdase,"Depok, Indonesia",317,375
225075078,Uki Dedi,UkiDedi,Serang,841,642
916615949947514880,Marketing Aeon,marketingaeon,"Cakung, Indonesia",5,27
632481541,Dedy Sujana,AyahSujana,Tangerang,32238,98
1130163110,ty💫,scarlettedrg,"Jakarta Timur, DKI Jakarta",1178,379
99096736,Hamzah,mhmdhmzh,Jakarta,343,268
550308681,the fall.,itsnotrael__,East Jakarta ,562,121
2311602373,Pandji,Freurent,"Bekasi, Jawa Barat",34,211
230740286,Penny,Liin_joyv,Tangerang,220,338
1041570611464556545,Mz Raka,raka_setti,"DKI Jakarta, Indonesia",4,47
3119170825,Panji Moulana,moulanapanji,"Jakarta Timur, DKI Jakarta",406,64
60044341,Razi,arraziee,jakarta,782,1511
85256295,M Reno R Surakusuma,RenoSurakusuma,Sukabumi - bogor ,632,354
164113664,bb daddi,RitzKhalifa,Batavia,323,325
2176148401,Kevin Hendry,khendryw,Jakarta,241,177
75537548,Robin Theputra Tedjo,robinTheputra,"DKI Jakarta, Indonesia",564,839
119750493,upi,upiafifuddin,jakarta,104,540
97533316,ari widodo,ariwidodosltg,karawang,61,168
1052887428589998080,Raibow_Gaiming,GaimingRaibow,"DKI Jakarta, Indonesia",1,5
128442468,Della,dellarc,Joke-Jakarta,405,460
