id,name,screen_name,location,followers_count,friends_count
599083053,Triskak,Triss_ka,Sidoarjo,522,406
65831726,Ibnu abdussalam,Bnu_Ozora,"Gresik, Jawa Timur, Indonesia",135,810
45876171,Hendra,hendratjhia,Surabaya,56,138
187235531,Elid Liradianta,liradianta,Surabaya,592,1043
95176269,Francisca Susi,susi079,"Jakarta, Indonesia",2930,850
814430406929809408,quantum_s_d_ace,quantum_s_dace,"Kota Surabaya, Jawa Timur",154,296
85066859,anggara sidjabat,an99ik,...lab. foto & studio,1185,396
482026236,rizkysaditya,rzksdty,Surabaya,242,196
3902975534,🐺Spooky Werewolf🐺,Wilson_Sandy72,"Surabaya,East Java, Indonesia",84,956
1188289333,Alf,ednuance,"Surabaya, Indonesia",278,427
1188289333,Alf,ednuance,"Surabaya, Indonesia",278,427
65352828,Rizkү Amεℓia Afifaн,ameliafifah,Surabaya,335,168
1441118377,⚡ 𝔨𝔞𝔯𝔦𝔫𝔞 ⚡,karinakrnd,"Surabaya, Indonesia",257,189
2293690759,liya,stnrlyh,Indonesien,395,224
170640488,mas ian,BrianezaZ,"Magetan, Indonesia",523,277
187381145,gus kur,inodonn,"outofyourmind,insideyourheart",438,276
45876171,Hendra,hendratjhia,Surabaya,56,138
297469098,Gondolz ,upicksadewa,"Kota Pasuruan, Jawa Timur",169,94
170640488,mas ian,BrianezaZ,"Magetan, Indonesia",523,277
170640488,mas ian,BrianezaZ,"Magetan, Indonesia",523,277
814430406929809408,quantum_s_d_ace,quantum_s_dace,"Kota Surabaya, Jawa Timur",154,296
724346653,NSC PASURUAN,NSCPASURUAN,"Pasuruan, East Java, Indonesia",5030,8
45876171,Hendra,hendratjhia,Surabaya,56,138
252944615,Laily,LRFah,surabaya,1566,615
824704238,Defani Alrasyidi Nugraha,defanialrasyidi,"Kota Madiun, Jawa Timur",227,220
553254140,SURABAYAPAGI.com,SurabayaPagi,Surabaya,436,71
824704238,Defani Alrasyidi Nugraha,defanialrasyidi,"Kota Madiun, Jawa Timur",227,220
79203927,Ahmad Farrih Muzakky,FarrihElFresco,"Nganjuk, Jawa Timur, Indonesia",44,82
2279797170,Kang Adhie,AdhieKang,Jombang,41,40
572691501,Ganda seishuu,gandaperdana10,Gresik,126,138
77445411,Apreiska Gilang R,apreiskagilang,"Surabaya, Indonesia",1183,445
317562693,Andrea L.,avialinda1,Surabaya,163,271
77445411,Apreiska Gilang R,apreiskagilang,"Surabaya, Indonesia",1183,445
728763407764062208,Kapin SKK,SKKMDN,"Kota Madiun, Jawa Timur",2,45
77445411,Apreiska Gilang R,apreiskagilang,"Surabaya, Indonesia",1183,445
204333390,Dzikri Fariz,farizdzikri,Indonesia,379,295
433324097,Miko,jatmika_wahyu,Surabaya,381,306
1663035949,A I S Y A H🌻,Ayszhh,"Kota Surabaya, Jawa Timur",476,278
728763407764062208,Kapin SKK,SKKMDN,"Kota Madiun, Jawa Timur",2,45
368488310,IG: standupindo_sby,StandUpIndo_SBY,Surabaya,65165,155
23737136,NINDY H.,nindyart,"Surabaya, Indonesia",915,670
722436260552269826,Reza Wildhan,rezarealz,"Sidoarjo, Indonesia",12,81
1441118377,⚡ 𝔨𝔞𝔯𝔦𝔫𝔞 ⚡,karinakrnd,"Surabaya, Indonesia",257,189
239363850,adde,addeyusuf,"Surabaya, Indonesia",411,200
79033253,fahryy,fahryy,surabaya-pekanbaru-bali,315,85
162703004,Aditya Cholisi,aditya_cholisi,"Surabaya, Indonesia",56,289
78234450,*Ackermans will be back April 2019*,evaayra,"Kota Surabaya, Jawa Timur",823,109
183310855,Mbak Di,DianYumul,Surabaya,27,97
319981028,BBS Rider Shop,bbs_store,Surabaya,161,21
559388574,Rul Nurul,nilun_,Mojokerto - Surabaya,745,108
